SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
402051049,Golden Grove,Moderate,Low,shap_irsd_score,-0.03234605703946,IRSD (Disadvantage),0.03234605703946,3,4
402051050,Greenwith,Low,Low,shap_irsd_score,-0.0291859255798834,IRSD (Disadvantage),0.0291859255798834,4,4
402051051,Highbury - Dernancourt,Low,Low,shap_irsd_score,-0.058259654470098,IRSD (Disadvantage),0.058259654470098,4,4
402051052,Hope Valley - Modbury,Moderate,Low,shap_irsd_score,-0.0104511423620925,IRSD (Disadvantage),0.0104511423620925,3,4
402051053,Modbury Heights,Moderate,Low,shap_irsd_score,-0.0142307468121768,IRSD (Disadvantage),0.0142307468121768,3,4
402051054,Redwood Park,Low,Low,shap_irsd_score,-0.0535622796296229,IRSD (Disadvantage),0.0535622796296229,4,4
402051055,St Agnes - Ridgehaven,Moderate,Low,shap_irsd_score,-0.0217660697613326,IRSD (Disadvantage),0.0217660697613326,3,4
403011056,Brighton (SA),Moderate,Low,shap_irsd_score,-0.0469270911957055,IRSD (Disadvantage),0.0469270911957055,3,4
403011057,Glenelg (SA),Moderate,Low,shap_irsd_score,-0.0379904296241069,IRSD (Disadvantage),0.0379904296241069,3,4
403021058,Edwardstown,Moderate,Low,shap_irsd_score,-0.0042393231984196,IRSD (Disadvantage),0.0042393231984196,3,4
403021059,Hallett Cove,Low,Low,shap_irsd_score,-0.0567189008460985,IRSD (Disadvantage),0.0567189008460985,4,4
403021060,Marino - Seaview Downs,Low,Low,shap_irsd_score,-0.0606664078201592,IRSD (Disadvantage),0.0606664078201592,4,4
403021061,Mitchell Park,Moderate,Low,shap_irsd_score,0.0090714364629865,IRSD (Disadvantage),0.0090714364629865,3,4
403021062,Morphettville,Moderate,Low,shap_irsd_score,-0.0051021712863242,IRSD (Disadvantage),0.0051021712863242,3,4
403021063,Sheidow Park - Trott Park,Low,Low,shap_irsd_score,-0.0626471572875092,IRSD (Disadvantage),0.0626471572875092,4,4
403021064,Warradale,Moderate,Low,shap_irsd_score,-0.0064496101955189,IRSD (Disadvantage),0.0064496101955189,3,4
403031065,Belair,Low,Low,shap_irsd_score,-0.0644533743026253,IRSD (Disadvantage),0.0644533743026253,4,4
403031066,Bellevue Heights,Low,Low,shap_irsd_score,-0.0605643692280601,IRSD (Disadvantage),0.0605643692280601,4,4
403031067,Blackwood,Low,Low,shap_irsd_score,-0.0563539635424465,IRSD (Disadvantage),0.0563539635424465,4,4
403031068,Colonel Light Gardens,Low,Low,shap_irsd_score,-0.0486083346204975,IRSD (Disadvantage),0.0486083346204975,4,4
403031069,Mitcham (SA),Low,Low,shap_irsd_score,-0.0509673824955867,IRSD (Disadvantage),0.0509673824955867,4,4
