"SA2_CODE21","SA2_NAME21","SA3_NAME21","SA4_NAME21","population","AREASQKM21","provider_type","provider_note","is_provider_confirmed","is_metro","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","median_hhd_inc_weekly_2021","median_hhd_inc_annual_2021","median_hhd_inc_annual_adj","bill_usage_only","bill_usage_supply","bill_owner_metro","bill_owner_country","bill_owner_blended","water_cost_burden_ratio","burden_ratio_renter","burden_ratio_owner_metro","burden_ratio_owner_country","burden_tier_abs","burden_tier_rel","estimated_hardship_need","hardship_priority_score","top_critical_driver","top_critical_driver_shap","water_cost_burden_pct","burden_ratio_owner_metro_pct","burden_ratio_owner_country_pct","burden_ratio_renter_pct","hardship_priority_pct","tier_order_rel","tier_order_abs","hardship_priority_flag"
"401041014","Athelstone","Campbelltown (SA)","Adelaide - Central and Hills","9601.0","6.204","SA Water","","0","1","1064.0","9.0","1037.0","7.0","1054.0","8.0","1029.0","7.0","1941","100932","115319.0","472.63","787.03","1160.23","1343.83","1160.23","0.010061","0.006825","0.010061","0.011653","Low","Low","3.3","0.4294","IRSAD (Adv/Disadv)","-0.0630075937468165","1.01","1.01","1.17","0.68","42.94","4","4","0"
"401041015","Paradise - Newton","Campbelltown (SA)","Adelaide - Central and Hills","21601.0","9.2256","SA Water","","0","1","998.0","5.0","986.0","5.0","963.0","3.0","1005.0","6.0","1427","74204","84781.0","472.63","787.03","1160.23","1343.83","1160.23","0.013685","0.009283","0.013685","0.015851","Low","Moderate","30.0","1.3516","IEO (Education/Occ)","-0.0915750650872707","1.37","1.37","1.59","0.93","135.16","3","4","0"
"401041016","Rostrevor - Magill","Campbelltown (SA)","Adelaide - Central and Hills","23968.0","9.9383","SA Water","","0","1","1027.0","6.0","1027.0","7.0","990.0","5.0","1054.0","8.0","1644","85488","97674.0","472.63","787.03","1160.23","1343.83","1160.23","0.011879","0.008058","0.011879","0.013758","Low","Moderate","33.3","1.0608","IRSAD (Adv/Disadv)","-0.0743891821365741","1.19","1.19","1.38","0.81","106.08","3","4","0"
"401051017","Norwood (SA)","Norwood - Payneham - St Peters","Adelaide - Central and Hills","10849.0","3.8926","SA Water","","0","1","1038.0","7.0","1060.0","8.0","946.0","3.0","1114.0","9.0","1653","85956","98208.0","472.63","787.03","1160.23","1343.83","1160.23","0.011814","0.008014","0.011814","0.013684","Low","Moderate","15.1","1.0504","IRSAD (Adv/Disadv)","-0.0804836867004772","1.18","1.18","1.37","0.8","105.04","3","4","0"
"401051018","Payneham - Felixstow","Norwood - Payneham - St Peters","Adelaide - Central and Hills","13122.0","5.2284","SA Water","","0","1","1019.0","6.0","1020.0","6.0","965.0","3.0","1049.0","8.0","1476","76752","87692.0","472.63","787.03","1160.23","1343.83","1160.23","0.013231","0.008975","0.013231","0.015324","Low","Moderate","18.2","1.2785","IEO (Education/Occ)","-0.0863138798049261","1.32","1.32","1.53","0.9","127.85","3","4","0"
"401051019","St Peters - Marden","Norwood - Payneham - St Peters","Adelaide - Central and Hills","13515.0","5.9826","SA Water","","0","1","1058.0","8.0","1077.0","9.0","1005.0","6.0","1111.0","9.0","1879","97708","111636.0","472.63","787.03","1160.23","1343.83","1160.23","0.010393","0.00705","0.010393","0.012038","Low","Low","4.7","0.4503","IRSAD (Adv/Disadv)","-0.0601133982443504","1.04","1.04","1.2","0.7","45.03","4","4","0"
"401061020","Nailsworth - Broadview","Prospect - Walkerville","Adelaide - Central and Hills","6484.0","2.3161","SA Water","","0","1","1053.0","8.0","1053.0","8.0","1001.0","5.0","1081.0","8.0","1967","102284","116864.0","472.63","787.03","1160.23","1343.83","1160.23","0.009928","0.006735","0.009928","0.011499","Low","Low","2.2","0.4211","IRSAD (Adv/Disadv)","-0.0605079999009317","0.99","0.99","1.15","0.67","42.11","4","4","0"
"401061021","Prospect","Prospect - Walkerville","Adelaide - Central and Hills","15785.0","5.4754","SA Water","","0","1","1055.0","8.0","1060.0","8.0","1000.0","5.0","1086.0","9.0","2019","104988","119953.0","472.63","787.03","1160.23","1343.83","1160.23","0.009672","0.006561","0.009672","0.011203","Low","Low","5.5","0.405","IRSAD (Adv/Disadv)","-0.0592324714905739","0.97","0.97","1.12","0.66","40.5","4","4","0"
"401061022","Walkerville","Prospect - Walkerville","Adelaide - Central and Hills","8023.0","3.53","SA Water","","0","1","1075.0","9.0","1097.0","9.0","1035.0","7.0","1123.0","9.0","2052","106704","121914.0","472.63","787.03","1160.23","1343.83","1160.23","0.009517","0.006456","0.009517","0.011023","Low","Low","2.8","0.3953","IRSAD (Adv/Disadv)","-0.0613058089962254","0.95","0.95","1.1","0.65","39.53","4","4","0"
"401071023","Goodwood - Millswood","Unley","Adelaide - Central and Hills","17650.0","7.1977","SA Water","","0","1","1066.0","9.0","1078.0","9.0","1011.0","6.0","1112.0","9.0","2001","104052","118884.0","472.63","787.03","1160.23","1343.83","1160.23","0.009759","0.00662","0.009759","0.011304","Low","Low","6.1","0.4105","IRSAD (Adv/Disadv)","-0.0546062583969065","0.98","0.98","1.13","0.66","41.05","4","4","0"
"401071024","Unley - Parkside","Unley","Adelaide - Central and Hills","20998.0","7.0726","SA Water","","0","1","1068.0","9.0","1089.0","9.0","1016.0","6.0","1124.0","9.0","1998","103896","118706.0","472.63","787.03","1160.23","1343.83","1160.23","0.009774","0.00663","0.009774","0.011321","Low","Low","7.3","0.4114","IRSAD (Adv/Disadv)","-0.0537544257681847","0.98","0.98","1.13","0.66","41.14","4","4","0"
"402011025","Gawler - North","Gawler - Two Wells","Adelaide - North","9545.0","145.5294","SA Water","","0","1","1024.0","6.0","979.0","5.0","1045.0","8.0","949.0","4.0","1770","92040","105160.0","472.63","787.03","1160.23","1343.83","1160.23","0.011033","0.007484","0.011033","0.012779","Low","Low","3.3","0.4905","IER (Econ Resources)","-0.0997073173187657","1.1","1.1","1.28","0.75","49.05","4","4","0"
