SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,price_increase_pct,scenario_label,baseline_tier_abs,baseline_tier_rel,baseline_tier_order,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_burden_pct,sim_tier_abs,sim_tier_order,tier_shift,tier_shifted
402021032,Munno Para West - Angle Vale,Playford,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,98208.0,1160.23,0.011814,1.1814,Low,4,0.0,0
402021033,One Tree Hill,Playford,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,135282.0,1160.23,0.008576,0.8576,Low,4,0.0,0
402021034,Smithfield - Elizabeth North,Playford,Adelaide - North,SA Water,1,0.0,Baseline,Moderate,High,3,Moderate,High,55788.0,1160.23,0.020797,2.0797,Moderate,3,0.0,0
402021035,Virginia - Waterloo Corner,Playford,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,82405.0,1160.23,0.01408,1.408,Low,4,0.0,0
402031036,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,84841.0,1160.23,0.013675,1.3675,Low,4,0.0,0
402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,94762.0,1160.23,0.012244,1.2244,Low,4,0.0,0
402031175,Northgate - Northfield,Port Adelaide - East,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,104506.0,1160.23,0.011102,1.1102,Low,4,0.0,0
402031176,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,87277.0,1160.23,0.013294,1.3294,Low,4,0.0,0
402041039,Dry Creek - North,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Unknown,Unknown,5,Unknown,Unknown,,1160.23,,,Unknown,5,,0
402041040,Ingle Farm,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,79850.0,1160.23,0.01453,1.453,Low,4,0.0,0
402041041,Para Hills,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,85791.0,1160.23,0.013524,1.3524,Low,4,0.0,0
402041042,Parafield,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Unknown,Unknown,5,Unknown,Unknown,,1160.23,,,Unknown,5,,0
402041043,Parafield Gardens,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,82226.0,1160.23,0.01411,1.411,Low,4,0.0,0
402041044,Paralowie,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,86623.0,1160.23,0.013394,1.3394,Low,4,0.0,0
402041046,Salisbury,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,High,4,Low,High,63630.0,1160.23,0.018234,1.8234,Low,4,0.0,0
402041047,Salisbury East,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,79553.0,1160.23,0.014584,1.4584,Low,4,0.0,0
402041048,Salisbury North,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,74562.0,1160.23,0.015561,1.5561,Low,4,0.0,0
402041171,Mawson Lakes - Globe Derby Park,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,113656.0,1160.23,0.010208,1.0208,Low,4,0.0,0
402041172,Pooraka - Cavan,Salisbury,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,75038.0,1160.23,0.015462,1.5462,Low,4,0.0,0
402051049,Golden Grove,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,99456.0,1160.23,0.011666,1.1666,Low,4,0.0,0
402051050,Greenwith,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,115081.0,1160.23,0.010082,1.0082,Low,4,0.0,0
402051051,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,114071.0,1160.23,0.010171,1.0171,Low,4,0.0,0
402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,78068.0,1160.23,0.014862,1.4862,Low,4,0.0,0
402051053,Modbury Heights,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,98446.0,1160.23,0.011785,1.1785,Low,4,0.0,0
402051054,Redwood Park,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,108011.0,1160.23,0.010742,1.0742,Low,4,0.0,0
402051055,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,88643.0,1160.23,0.013089,1.3089,Low,4,0.0,0
403011056,Brighton (SA),Holdfast Bay,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,99397.0,1160.23,0.011673,1.1673,Low,4,0.0,0
403011057,Glenelg (SA),Holdfast Bay,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,92802.0,1160.23,0.012502,1.2502,Low,4,0.0,0
403021058,Edwardstown,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,86267.0,1160.23,0.013449,1.3449,Low,4,0.0,0
403021059,Hallett Cove,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,111457.0,1160.23,0.01041,1.041,Low,4,0.0,0
403021060,Marino - Seaview Downs,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,108190.0,1160.23,0.010724,1.0724,Low,4,0.0,0
403021061,Mitchell Park,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,77652.0,1160.23,0.014941,1.4941,Low,4,0.0,0
403021062,Morphettville,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,92327.0,1160.23,0.012567,1.2567,Low,4,0.0,0
403021063,Sheidow Park - Trott Park,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,114190.0,1160.23,0.010161,1.0161,Low,4,0.0,0
403021064,Warradale,Marion,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,84425.0,1160.23,0.013743,1.3743,Low,4,0.0,0
403031065,Belair,Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,135044.0,1160.23,0.008591,0.8591,Low,4,0.0,0
403031066,Bellevue Heights,Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,104803.0,1160.23,0.011071,1.1071,Low,4,0.0,0
403031067,Blackwood,Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,125597.0,1160.23,0.009238,0.9238,Low,4,0.0,0
403031068,Colonel Light Gardens,Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,119181.0,1160.23,0.009735,0.9735,Low,4,0.0,0
403031069,Mitcham (SA),Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,130885.0,1160.23,0.008864,0.8864,Low,4,0.0,0
403031070,Panorama,Mitcham,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,90188.0,1160.23,0.012865,1.2865,Low,4,0.0,0
403041071,Aberfoyle Park,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,107358.0,1160.23,0.010807,1.0807,Low,4,0.0,0
403041072,Aldinga,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,78246.0,1160.23,0.014828,1.4828,Low,4,0.0,0
403041073,Christie Downs,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,High,4,Low,High,59115.0,1160.23,0.019627,1.9627,Low,4,0.0,0
403041074,Christies Beach,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,72483.0,1160.23,0.016007,1.6007,Low,4,0.0,0
403041075,Clarendon,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,120013.0,1160.23,0.009668,0.9668,Low,4,0.0,0
403041076,Coromandel Valley,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,132667.0,1160.23,0.008745,0.8745,Low,4,0.0,0
403041077,Flagstaff Hill,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,121498.0,1160.23,0.009549,0.9549,Low,4,0.0,0
403041078,Hackham - Onkaparinga Hills,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,80504.0,1160.23,0.014412,1.4412,Low,4,0.0,0
403041079,Hackham West - Huntfield Heights,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,High,4,Low,High,64165.0,1160.23,0.018082,1.8082,Low,4,0.0,0
403041080,Happy Valley,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,93158.0,1160.23,0.012454,1.2454,Low,4,0.0,0
403041081,Happy Valley Reservoir,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,81692.0,1160.23,0.014202,1.4202,Low,4,0.0,0
403041082,Lonsdale,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,43074.0,1160.23,0.026936,2.6936,Moderate,3,0.0,0
403041083,McLaren Vale,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,97317.0,1160.23,0.011922,1.1922,Low,4,0.0,0
403041084,Morphett Vale - East,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,72958.0,1160.23,0.015903,1.5903,Low,4,0.0,0
403041085,Morphett Vale - West,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,69096.0,1160.23,0.016792,1.6792,Low,4,0.0,0
403041086,Reynella,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,79256.0,1160.23,0.014639,1.4639,Low,4,0.0,0
403041088,Willunga,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,104268.0,1160.23,0.011127,1.1127,Low,4,0.0,0
403041089,Woodcroft,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,99337.0,1160.23,0.01168,1.168,Low,4,0.0,0
403041177,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,87098.0,1160.23,0.013321,1.3321,Low,4,0.0,0
403041178,Seaford Rise - Moana,Onkaparinga,Adelaide - South,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,90366.0,1160.23,0.012839,1.2839,Low,4,0.0,0
404011090,Beverley,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,100704.0,1160.23,0.011521,1.1521,Low,4,0.0,0
404011091,Flinders Park,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,92861.0,1160.23,0.012494,1.2494,Low,4,0.0,0
