price_increase_pct,scenario_label,SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_tier_abs,tier_shift,sim_burden_pct,tier_shifted,sim_tier_order
0.0,Baseline,402031036,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,84841.0,1160.23,0.013675,Low,0.0,1.3675,0,4
0.0,Baseline,402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,94762.0,1160.23,0.012244,Low,0.0,1.2244,0,4
0.0,Baseline,402031175,Northgate - Northfield,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Low,104506.0,1160.23,0.011102,Low,0.0,1.1102,0,4
0.0,Baseline,402031176,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,SA Water,True,Low,Moderate,87277.0,1160.23,0.013294,Low,0.0,1.3294,0,4
0.0,Baseline,402041039,Dry Creek - North,Salisbury,Adelaide - North,SA Water,True,Unknown,Unknown,,1160.23,,Unknown,,,0,5
0.0,Baseline,402041040,Ingle Farm,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,79850.0,1160.23,0.01453,Low,0.0,1.453,0,4
0.0,Baseline,402041041,Para Hills,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,85791.0,1160.23,0.013524,Low,0.0,1.3524,0,4
0.0,Baseline,402041042,Parafield,Salisbury,Adelaide - North,SA Water,True,Unknown,Unknown,,1160.23,,Unknown,,,0,5
0.0,Baseline,402041043,Parafield Gardens,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,82226.0,1160.23,0.01411,Low,0.0,1.411,0,4
0.0,Baseline,402041044,Paralowie,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,86623.0,1160.23,0.013394,Low,0.0,1.3394,0,4
0.0,Baseline,402041046,Salisbury,Salisbury,Adelaide - North,SA Water,True,Low,High,63630.0,1160.23,0.018234,Low,0.0,1.8234,0,4
0.0,Baseline,402041047,Salisbury East,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,79553.0,1160.23,0.014584,Low,0.0,1.4584,0,4
0.0,Baseline,402041048,Salisbury North,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,74562.0,1160.23,0.015561,Low,0.0,1.5561,0,4
0.0,Baseline,402041171,Mawson Lakes - Globe Derby Park,Salisbury,Adelaide - North,SA Water,True,Low,Low,113656.0,1160.23,0.010208,Low,0.0,1.0208,0,4
0.0,Baseline,402041172,Pooraka - Cavan,Salisbury,Adelaide - North,SA Water,True,Low,Moderate,75038.0,1160.23,0.015462,Low,0.0,1.5462,0,4
0.0,Baseline,402051049,Golden Grove,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Moderate,99456.0,1160.23,0.011666,Low,0.0,1.1666,0,4
0.0,Baseline,402051050,Greenwith,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Low,115081.0,1160.23,0.010082,Low,0.0,1.0082,0,4
0.0,Baseline,402051051,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Low,114071.0,1160.23,0.010171,Low,0.0,1.0171,0,4
0.0,Baseline,402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Moderate,78068.0,1160.23,0.014862,Low,0.0,1.4862,0,4
0.0,Baseline,402051053,Modbury Heights,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Moderate,98446.0,1160.23,0.011785,Low,0.0,1.1785,0,4
0.0,Baseline,402051054,Redwood Park,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Low,108011.0,1160.23,0.010742,Low,0.0,1.0742,0,4
0.0,Baseline,402051055,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,SA Water,True,Low,Moderate,88643.0,1160.23,0.013089,Low,0.0,1.3089,0,4
0.0,Baseline,403011056,Brighton (SA),Holdfast Bay,Adelaide - South,SA Water,True,Low,Moderate,99397.0,1160.23,0.011673,Low,0.0,1.1673,0,4
0.0,Baseline,403011057,Glenelg (SA),Holdfast Bay,Adelaide - South,SA Water,True,Low,Moderate,92802.0,1160.23,0.012502,Low,0.0,1.2502,0,4
0.0,Baseline,403021058,Edwardstown,Marion,Adelaide - South,SA Water,True,Low,Moderate,86267.0,1160.23,0.013449,Low,0.0,1.3449,0,4
0.0,Baseline,403021059,Hallett Cove,Marion,Adelaide - South,SA Water,True,Low,Low,111457.0,1160.23,0.01041,Low,0.0,1.041,0,4
0.0,Baseline,403021060,Marino - Seaview Downs,Marion,Adelaide - South,SA Water,True,Low,Low,108190.0,1160.23,0.010724,Low,0.0,1.0724,0,4
0.0,Baseline,403021061,Mitchell Park,Marion,Adelaide - South,SA Water,True,Low,Moderate,77652.0,1160.23,0.014941,Low,0.0,1.4941,0,4
0.0,Baseline,403021062,Morphettville,Marion,Adelaide - South,SA Water,True,Low,Moderate,92327.0,1160.23,0.012567,Low,0.0,1.2567,0,4
0.0,Baseline,403021063,Sheidow Park - Trott Park,Marion,Adelaide - South,SA Water,True,Low,Low,114190.0,1160.23,0.010161,Low,0.0,1.0161,0,4
0.0,Baseline,403021064,Warradale,Marion,Adelaide - South,SA Water,True,Low,Moderate,84425.0,1160.23,0.013743,Low,0.0,1.3743,0,4
0.0,Baseline,403031065,Belair,Mitcham,Adelaide - South,SA Water,True,Low,Low,135044.0,1160.23,0.008591,Low,0.0,0.8591,0,4
0.0,Baseline,403031066,Bellevue Heights,Mitcham,Adelaide - South,SA Water,True,Low,Low,104803.0,1160.23,0.011071,Low,0.0,1.1071,0,4
0.0,Baseline,403031067,Blackwood,Mitcham,Adelaide - South,SA Water,True,Low,Low,125597.0,1160.23,0.009238,Low,0.0,0.9238,0,4
0.0,Baseline,403031068,Colonel Light Gardens,Mitcham,Adelaide - South,SA Water,True,Low,Low,119181.0,1160.23,0.009735,Low,0.0,0.9735,0,4
0.0,Baseline,403031069,Mitcham (SA),Mitcham,Adelaide - South,SA Water,True,Low,Low,130885.0,1160.23,0.008864,Low,0.0,0.8864,0,4
0.0,Baseline,403031070,Panorama,Mitcham,Adelaide - South,SA Water,True,Low,Moderate,90188.0,1160.23,0.012865,Low,0.0,1.2865,0,4
0.0,Baseline,403041071,Aberfoyle Park,Onkaparinga,Adelaide - South,SA Water,True,Low,Low,107358.0,1160.23,0.010807,Low,0.0,1.0807,0,4
0.0,Baseline,403041072,Aldinga,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,78246.0,1160.23,0.014828,Low,0.0,1.4828,0,4
0.0,Baseline,403041073,Christie Downs,Onkaparinga,Adelaide - South,SA Water,True,Low,High,59115.0,1160.23,0.019627,Low,0.0,1.9627,0,4
0.0,Baseline,403041074,Christies Beach,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,72483.0,1160.23,0.016007,Low,0.0,1.6007,0,4
0.0,Baseline,403041075,Clarendon,Onkaparinga,Adelaide - South,SA Water,True,Low,Low,120013.0,1160.23,0.009668,Low,0.0,0.9668,0,4
0.0,Baseline,403041076,Coromandel Valley,Onkaparinga,Adelaide - South,SA Water,True,Low,Low,132667.0,1160.23,0.008745,Low,0.0,0.8745,0,4
0.0,Baseline,403041077,Flagstaff Hill,Onkaparinga,Adelaide - South,SA Water,True,Low,Low,121498.0,1160.23,0.009549,Low,0.0,0.9549,0,4
0.0,Baseline,403041078,Hackham - Onkaparinga Hills,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,80504.0,1160.23,0.014412,Low,0.0,1.4412,0,4
0.0,Baseline,403041079,Hackham West - Huntfield Heights,Onkaparinga,Adelaide - South,SA Water,True,Low,High,64165.0,1160.23,0.018082,Low,0.0,1.8082,0,4
0.0,Baseline,403041080,Happy Valley,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,93158.0,1160.23,0.012454,Low,0.0,1.2454,0,4
0.0,Baseline,403041081,Happy Valley Reservoir,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,81692.0,1160.23,0.014202,Low,0.0,1.4202,0,4
0.0,Baseline,403041082,Lonsdale,Onkaparinga,Adelaide - South,SA Water,True,Moderate,Critical,43074.0,1160.23,0.026936,Moderate,0.0,2.6936,0,3
0.0,Baseline,403041083,McLaren Vale,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,97317.0,1160.23,0.011922,Low,0.0,1.1922,0,4
0.0,Baseline,403041084,Morphett Vale - East,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,72958.0,1160.23,0.015903,Low,0.0,1.5903,0,4
0.0,Baseline,403041085,Morphett Vale - West,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,69096.0,1160.23,0.016792,Low,0.0,1.6792,0,4
0.0,Baseline,403041086,Reynella,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,79256.0,1160.23,0.014639,Low,0.0,1.4639,0,4
0.0,Baseline,403041088,Willunga,Onkaparinga,Adelaide - South,SA Water,True,Low,Low,104268.0,1160.23,0.011127,Low,0.0,1.1127,0,4
0.0,Baseline,403041089,Woodcroft,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,99337.0,1160.23,0.01168,Low,0.0,1.168,0,4
0.0,Baseline,403041177,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,87098.0,1160.23,0.013321,Low,0.0,1.3321,0,4
0.0,Baseline,403041178,Seaford Rise - Moana,Onkaparinga,Adelaide - South,SA Water,True,Low,Moderate,90366.0,1160.23,0.012839,Low,0.0,1.2839,0,4
0.0,Baseline,404011090,Beverley,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,100704.0,1160.23,0.011521,Low,0.0,1.1521,0,4
0.0,Baseline,404011091,Flinders Park,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,92861.0,1160.23,0.012494,Low,0.0,1.2494,0,4
0.0,Baseline,404011092,Henley Beach,Charles Sturt,Adelaide - West,SA Water,True,Low,Low,106110.0,1160.23,0.010934,Low,0.0,1.0934,0,4
0.0,Baseline,404011093,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,96901.0,1160.23,0.011973,Low,0.0,1.1973,0,4
0.0,Baseline,404011094,Royal Park - Hendon - Albert Park,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,84781.0,1160.23,0.013685,Low,0.0,1.3685,0,4
0.0,Baseline,404011095,Seaton - Grange,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,84662.0,1160.23,0.013704,Low,0.0,1.3704,0,4
0.0,Baseline,404011096,West Lakes,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,89475.0,1160.23,0.012967,Low,0.0,1.2967,0,4
0.0,Baseline,404011097,Woodville - Cheltenham,Charles Sturt,Adelaide - West,SA Water,True,Low,Moderate,88584.0,1160.23,0.013098,Low,0.0,1.3098,0,4
0.0,Baseline,404021098,Dry Creek - South,Port Adelaide - West,Adelaide - West,SA Water,True,Unknown,Unknown,,1160.23,,Unknown,,,0,5
0.0,Baseline,404021099,Largs Bay - Semaphore,Port Adelaide - West,Adelaide - West,SA Water,True,Low,Moderate,94109.0,1160.23,0.012329,Low,0.0,1.2329,0,4
0.0,Baseline,404021100,North Haven,Port Adelaide - West,Adelaide - West,SA Water,True,Low,Moderate,84009.0,1160.23,0.013811,Low,0.0,1.3811,0,4
0.0,Baseline,404021101,Port Adelaide,Port Adelaide - West,Adelaide - West,SA Water,True,Low,Moderate,74087.0,1160.23,0.01566,Low,0.0,1.566,0,4
0.0,Baseline,404021102,The Parks,Port Adelaide - West,Adelaide - West,SA Water,True,Low,Moderate,77058.0,1160.23,0.015057,Low,0.0,1.5057,0,4
0.0,Baseline,404021103,Torrens Island,Port Adelaide - West,Adelaide - West,SA Water,True,Moderate,Critical,44500.0,1160.23,0.026073,Moderate,0.0,2.6073,0,3
0.0,Baseline,404031104,Adelaide Airport,West Torrens,Adelaide - West,SA Water,True,Unknown,Unknown,,1160.23,,Unknown,,,0,5
0.0,Baseline,404031105,Fulham,West Torrens,Adelaide - West,SA Water,True,Low,Low,104150.0,1160.23,0.01114,Low,0.0,1.114,0,4
