SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,is_metro,burden_tier_abs,next_tier,water_cost_burden_ratio,median_hhd_inc_annual_adj,bill_usage_only,bill_owner_blended,tipping_pct,current_burden_pct
402021030,Elizabeth,Playford,Adelaide - North,True,Moderate,High,0.023614,49134.0,472.63,1160.23,66.39231534181071,2.36
405031121,Peterborough - Mount Remarkable,Mid North,Barossa - Yorke - Mid North,False,Moderate,High,0.024295,55313.0,472.63,1343.83,66.766815479339,2.43
404021101,Port Adelaide,Port Adelaide - West,Adelaide - West,True,Low,Moderate,0.01566,74087.0,472.63,1160.23,68.02572837103018,1.57
406011129,Ceduna,Eyre Peninsula and South West,South Australia - Outback,False,Low,Moderate,0.016087,83534.0,472.63,1343.83,69.15557624357322,1.61
402041048,Salisbury North,Salisbury,Adelaide - North,True,Low,Moderate,0.015561,74562.0,472.63,1160.23,70.035757357764,1.56
402041172,Pooraka - Cavan,Salisbury,Adelaide - North,True,Low,Moderate,0.015462,75038.0,472.63,1160.23,72.05001798446989,1.55
405011110,Barossa - Angaston,Barossa,Barossa - Yorke - Mid North,False,Low,Moderate,0.015697,85613.0,472.63,1343.83,77.95315574550918,1.57
405011115,Tanunda,Barossa,Barossa - Yorke - Mid North,False,Low,Moderate,0.015642,85910.0,472.63,1343.83,79.20995281721434,1.56
405041125,Moonta,Yorke Peninsula,Barossa - Yorke - Mid North,False,Moderate,High,0.023439,57333.0,472.63,1343.83,79.5886845947147,2.34
404021102,The Parks,Port Adelaide - West,Adelaide - West,True,Low,Moderate,0.015057,77058.0,472.63,1160.23,80.59793072805368,1.51
407011144,Goolwa - Port Elliot,Fleurieu - Kangaroo Island,South Australia - South East,False,Moderate,High,0.023318,57630.0,472.63,1343.83,81.47388020227237,2.33
407031168,Renmark Surrounds,Murray and Mallee,South Australia - South East,False,Low,Moderate,0.015503,86682.0,472.63,1343.83,82.4767788756533,1.55
403021061,Mitchell Park,Marion,Adelaide - South,True,Low,Moderate,0.014941,77652.0,472.63,1160.23,83.11152487146391,1.49
407011148,Victor Harbor,Fleurieu - Kangaroo Island,South Australia - South East,False,Moderate,High,0.023151,58046.0,472.63,1343.83,84.1144235448448,2.32
402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,True,Low,Moderate,0.014862,78068.0,472.63,1160.23,84.87188709984557,1.49
407021157,Tatiara,Limestone Coast,South Australia - South East,False,Low,Moderate,0.015387,87336.0,472.63,1343.83,85.24427141738784,1.54
403041072,Aldinga,Onkaparinga,Adelaide - South,True,Low,Moderate,0.014828,78246.0,472.63,1160.23,85.62511901487422,1.48
407011147,Strathalbyn Surrounds,Fleurieu - Kangaroo Island,South Australia - South East,False,Low,Moderate,0.015293,87871.0,472.63,1343.83,87.50819880244592,1.53
407021152,Millicent,Limestone Coast,South Australia - South East,False,Moderate,High,0.022894,58699.0,472.63,1343.83,88.25931489748855,2.29
403041086,Reynella,Onkaparinga,Adelaide - South,True,Low,Moderate,0.014639,79256.0,472.63,1160.23,89.89907538666613,1.46
402011026,Gawler - South,Gawler - Two Wells,Adelaide - North,True,Low,Moderate,0.014617,79375.0,472.63,1160.23,90.40264054334257,1.46
402041047,Salisbury East,Salisbury,Adelaide - North,True,Low,Moderate,0.014584,79553.0,472.63,1160.23,91.15587245837122,1.46
402041040,Ingle Farm,Salisbury,Adelaide - North,True,Low,Moderate,0.01453,79850.0,472.63,1160.23,92.41266953007639,1.45
405041127,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,False,Moderate,High,0.022551,59590.0,472.63,1343.83,93.91490172016168,2.26
403041078,Hackham - Onkaparinga Hills,Onkaparinga,Adelaide - South,True,Low,Moderate,0.014412,80504.0,472.63,1160.23,95.1801620718109,1.44
401011001,Adelaide,Adelaide City,Adelaide - Central and Hills,True,Low,Moderate,0.014307,81098.0,472.63,1160.23,97.6937562152212,1.43
407031167,Renmark,Murray and Mallee,South Australia - South East,False,Moderate,High,0.022241,60422.0,472.63,1343.83,99.19598840530645,2.22
403041081,Happy Valley Reservoir,Onkaparinga,Adelaide - South,True,Low,Moderate,0.014202,81692.0,472.63,1160.23,100.20735035863152,1.42
402041043,Parafield Gardens,Salisbury,Adelaide - North,True,Low,Moderate,0.01411,82226.0,472.63,1160.23,102.46704610371751,1.41
407031170,Waikerie,Murray and Mallee,South Australia - South East,False,Moderate,High,0.022024,61016.0,472.63,1343.83,102.96637962042192,2.2
402021035,Virginia - Waterloo Corner,Playford,Adelaide - North,True,Low,Moderate,0.01408,82405.0,472.63,1160.23,103.22450965871828,1.41
405011111,Light,Barossa,Barossa - Yorke - Mid North,False,Low,Moderate,0.01465,91732.0,472.63,1343.83,103.84656073461275,1.46
407031160,Berri,Murray and Mallee,South Australia - South East,False,Moderate,High,0.02177,61729.0,472.63,1343.83,107.49211857055201,2.18
402021034,Smithfield - Elizabeth North,Playford,Adelaide - North,True,Moderate,High,0.020797,55788.0,472.63,1160.23,108.6283139030531,2.08
405031122,Port Pirie,Mid North,Barossa - Yorke - Mid North,False,Moderate,High,0.021666,62026.0,472.63,1343.83,109.37731417810971,2.17
404021100,North Haven,Port Adelaide - West,Adelaide - West,True,Low,Moderate,0.013811,84009.0,472.63,1160.23,110.01206017392042,1.38
406021140,Quorn - Lake Gilles,Outback - North and East,South Australia - Outback,False,Moderate,High,0.021603,62205.0,472.63,1343.83,110.5135095106108,2.16
403021064,Warradale,Marion,Adelaide - South,True,Low,Moderate,0.013743,84425.0,472.63,1160.23,111.77242240230201,1.37
404011095,Seaton - Grange,Charles Sturt,Adelaide - West,True,Low,Moderate,0.013704,84662.0,472.63,1160.23,112.77532107568287,1.37
404011094,Royal Park - Hendon - Albert Park,Charles Sturt,Adelaide - West,True,Low,Moderate,0.013685,84781.0,472.63,1160.23,113.27888623235935,1.37
401041015,Paradise - Newton,Campbelltown (SA),Adelaide - Central and Hills,True,Low,Moderate,0.013685,84781.0,472.63,1160.23,113.27888623235935,1.37
407021150,Grant,Limestone Coast,South Australia - South East,False,Low,Moderate,0.014298,93990.0,472.63,1343.83,113.40160379154942,1.43
