SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
401051017,Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,10849.0,3.8926,SA Water,,False,True,1038.0,7.0,1060.0,8.0,946.0,3.0,1114.0,9.0,1653,85956,98208.0,472.63,787.03,1160.23,1343.83,1160.23,0.011814,0.008014,0.011814,0.013684,Low,Moderate,15.1,1.0504,2376.3636,0.7244,High
401051018,Payneham - Felixstow,Norwood - Payneham - St Peters,Adelaide - Central and Hills,13122.0,5.2284,SA Water,,False,True,1019.0,6.0,1020.0,6.0,965.0,3.0,1049.0,8.0,1476,76752,87692.0,472.63,787.03,1160.23,1343.83,1160.23,0.013231,0.008975,0.013231,0.015324,Low,Moderate,18.2,1.2785,2329.5751,0.5881,High
401051019,St Peters - Marden,Norwood - Payneham - St Peters,Adelaide - Central and Hills,13515.0,5.9826,SA Water,,False,True,1058.0,8.0,1077.0,9.0,1005.0,6.0,1111.0,9.0,1879,97708,111636.0,472.63,787.03,1160.23,1343.83,1160.23,0.010393,0.00705,0.010393,0.012038,Low,Low,4.7,0.4503,2236.8557,0.3324,Moderate
401061020,Nailsworth - Broadview,Prospect - Walkerville,Adelaide - Central and Hills,6484.0,2.3161,SA Water,,False,True,1053.0,8.0,1053.0,8.0,1001.0,5.0,1081.0,8.0,1967,102284,116864.0,472.63,787.03,1160.23,1343.83,1160.23,0.009928,0.006735,0.009928,0.011499,Low,Low,2.2,0.4211,2245.7942,0.3608,Moderate
401061021,Prospect,Prospect - Walkerville,Adelaide - Central and Hills,15785.0,5.4754,SA Water,,False,True,1055.0,8.0,1060.0,8.0,1000.0,5.0,1086.0,9.0,2019,104988,119953.0,472.63,787.03,1160.23,1343.83,1160.23,0.009672,0.006561,0.009672,0.011203,Low,Low,5.5,0.405,2248.04,0.3722,Moderate
401061022,Walkerville,Prospect - Walkerville,Adelaide - Central and Hills,8023.0,3.53,SA Water,,False,True,1075.0,9.0,1097.0,9.0,1035.0,7.0,1123.0,9.0,2052,106704,121914.0,472.63,787.03,1160.23,1343.83,1160.23,0.009517,0.006456,0.009517,0.011023,Low,Low,2.8,0.3953,2172.0193,0.1818,Low
401071023,Goodwood - Millswood,Unley,Adelaide - Central and Hills,17650.0,7.1977,SA Water,,False,True,1066.0,9.0,1078.0,9.0,1011.0,6.0,1112.0,9.0,2001,104052,118884.0,472.63,787.03,1160.23,1343.83,1160.23,0.009759,0.00662,0.009759,0.011304,Low,Low,6.1,0.4105,2223.5806,0.2926,Moderate
401071024,Unley - Parkside,Unley,Adelaide - Central and Hills,20998.0,7.0726,SA Water,,False,True,1068.0,9.0,1089.0,9.0,1016.0,6.0,1124.0,9.0,1998,103896,118706.0,472.63,787.03,1160.23,1343.83,1160.23,0.009774,0.00663,0.009774,0.011321,Low,Low,7.3,0.4114,2212.6378,0.2614,Moderate
402011025,Gawler - North,Gawler - Two Wells,Adelaide - North,9545.0,145.5294,SA Water,,False,True,1024.0,6.0,979.0,5.0,1045.0,8.0,949.0,4.0,1770,92040,105160.0,472.63,787.03,1160.23,1343.83,1160.23,0.011033,0.007484,0.011033,0.012779,Low,Low,3.3,0.4905,2151.2344,0.1562,Low
402011026,Gawler - South,Gawler - Two Wells,Adelaide - North,21662.0,76.7139,SA Water,,False,True,962.0,3.0,934.0,3.0,971.0,4.0,930.0,3.0,1336,69472,79375.0,472.63,787.03,1160.23,1343.83,1160.23,0.014617,0.009915,0.014617,0.01693,Low,Moderate,30.1,1.5016,2315.1802,0.5426,High
402011027,Lewiston - Two Wells,Gawler - Two Wells,Adelaide - North,6505.0,84.6217,SA Water,,False,True,1009.0,5.0,958.0,4.0,1068.0,9.0,900.0,2.0,1908,99216,113358.0,472.63,787.03,1160.23,1343.83,1160.23,0.010235,0.006943,0.010235,0.011855,Low,Low,2.3,0.4404,2104.9064,0.0653,Low
402021028,Craigmore - Blakeview,Playford,Adelaide - North,19920.0,11.8809,SA Water,,False,True,953.0,3.0,919.0,2.0,992.0,5.0,897.0,2.0,1600,83200,95060.0,472.63,787.03,1160.23,1343.83,1160.23,0.012205,0.008279,0.012205,0.014137,Low,Moderate,27.6,1.1133,2266.1694,0.4148,Moderate
402021029,Davoren Park,Playford,Adelaide - North,18313.0,9.4649,SA Water,,False,True,792.0,1.0,799.0,1.0,862.0,1.0,811.0,1.0,1161,60372,68978.0,472.63,787.03,1160.23,1343.83,1160.23,0.01682,0.01141,0.01682,0.019482,Low,Moderate,25.4,1.8562,2607.935,0.9091,Critical
402021030,Elizabeth,Playford,Adelaide - North,10829.0,9.2607,SA Water,,False,True,646.0,1.0,717.0,1.0,758.0,1.0,773.0,1.0,827,43004,49134.0,472.63,787.03,1160.23,1343.83,1160.23,0.023614,0.016018,0.023614,0.02735,Moderate,Critical,60.1,5.4786,2965.752,0.9318,Critical
402021031,Elizabeth East,Playford,Adelaide - North,14047.0,8.1823,SA Water,,False,True,834.0,1.0,838.0,1.0,894.0,1.0,845.0,1.0,1188,61776,70582.0,472.63,787.03,1160.23,1343.83,1160.23,0.016438,0.011151,0.016438,0.019039,Low,Moderate,19.5,1.7948,2514.5861,0.8523,Critical
402021032,Munno Para West - Angle Vale,Playford,Adelaide - North,16215.0,44.3107,SA Water,,False,True,963.0,3.0,930.0,3.0,995.0,5.0,907.0,2.0,1653,85956,98208.0,472.63,787.03,1160.23,1343.83,1160.23,0.011814,0.008014,0.011814,0.013684,Low,Moderate,22.5,1.0504,2259.3367,0.4006,Moderate
