SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,top_critical_driver,top_critical_driver_shap,shap_irsd_score,shap_irsad_score,shap_ier_score,shap_ieo_score,shap_population,shap_AREASQKM21,irsd_score,irsad_score,ier_score,ieo_score,population,AREASQKM21
401071024,Unley - Parkside,Low,Low,IRSAD (Adv/Disadv),-0.0537544257681847,-0.04545404493174493,-0.0537544257681847,-0.0455588196586003,-0.04219777757053964,-0.0395765405974731,-0.02275613395970972,1068.0,1089.0,1016.0,1124.0,20998.0,7.0726
402011025,Gawler - North,Low,Low,IER (Econ Resources),-0.09970731731876573,-0.033553826115121366,-0.08105684707253204,-0.09970731731876573,-0.03015638797187762,0.003890368327009036,-0.0020470656682979368,1024.0,979.0,1045.0,949.0,9545.0,145.5294
402011026,Gawler - South,Moderate,Low,Population,-0.08613136884924169,0.008042385589063785,-0.04609859186006417,0.002459499364462781,-0.0333370151501303,-0.08613136884924169,0.00910068175299057,962.0,934.0,971.0,930.0,21662.0,76.7139
402011027,Lewiston - Two Wells,Low,Low,IER (Econ Resources),-0.12586155719902384,-0.009028371955153243,-0.03304303194728892,-0.12586155719902384,-0.009290877803363929,-0.01204165884673479,0.0033010885986456714,1009.0,958.0,1068.0,900.0,6505.0,84.6217
402021028,Craigmore - Blakeview,Moderate,Low,Population,-0.12368030629192703,0.015198326553968288,0.02303565980832295,-0.05685398998553362,-0.011818640457344124,-0.12368030629192703,-0.045178792113738646,953.0,919.0,992.0,897.0,19920.0,11.8809
402021029,Davoren Park,Moderate,Low,Population,-0.20271489826742237,0.022793158592498544,-0.0137954163549036,0.03151887547679567,0.017214601873560522,-0.20271489826742237,-0.0376473971401143,792.0,799.0,862.0,811.0,18313.0,9.4649
402021030,Elizabeth,Critical,Moderate,IRSD (Disadvantage),0.09889924019668647,0.09889924019668647,0.08813068351734221,0.09734526862186127,0.0917542740123647,0.009558904366106381,0.011680553466053624,646.0,717.0,758.0,773.0,10829.0,9.2607
402021031,Elizabeth East,Moderate,Low,Area (km²),-0.1389015795834575,0.027090297796856636,-0.004828413612839962,-0.005360920683849935,0.030334293086563494,-0.08429808615619153,-0.1389015795834575,834.0,838.0,894.0,845.0,14047.0,8.1823
402021032,Munno Para West - Angle Vale,Moderate,Low,Population,-0.07226759297580808,-0.008390511656880149,-0.048540587986533115,-0.06822901662045477,-0.016562952617094083,-0.07226759297580808,-0.018640413962815364,963.0,930.0,995.0,907.0,16215.0,44.3107
402021033,One Tree Hill,Low,Low,IRSAD (Adv/Disadv),-0.07367654429872313,-0.06354968414106801,-0.07367654429872313,-0.07291060069359269,-0.05458745717674194,0.00541982710847207,0.010006716715401437,1082.0,1042.0,1113.0,1001.0,2473.0,130.1511
402021034,Smithfield - Elizabeth North,High,Moderate,Area (km²),-0.12345712272592901,0.05398397640464718,0.06546491751114915,0.07074913874883082,0.06971206438355688,-0.05241738347517438,-0.12345712272592901,732.0,756.0,804.0,780.0,12446.0,7.987
402021035,Virginia - Waterloo Corner,Moderate,Low,IER (Econ Resources),-0.13781357883493725,0.020052613298091927,-0.06843876056287956,-0.13781357883493725,-0.01232416619942571,-0.021956106858056587,0.0011822566709548989,958.0,939.0,1015.0,917.0,5693.0,135.5661
402031036,Enfield - Blair Athol,Moderate,Low,Population,-0.12380869012216156,0.013116887566011218,0.003092175907319554,-0.01913722399373644,-0.05535848706144475,-0.12380869012216156,-0.030535738115573644,904.0,924.0,902.0,966.0,25578.0,15.1765
402031038,Windsor Gardens,Moderate,Low,IEO (Education/Occ),-0.08077903462308733,-0.0006128076202685864,-0.0663720819624938,0.002643169751533734,-0.08077903462308733,-0.07664137754098398,-0.027535610490952316,998.0,992.0,953.0,1025.0,22587.0,8.4298
402031175,Northgate - Northfield,Low,Low,IEO (Education/Occ),-0.07824722136860064,-0.005828155398551111,-0.06858059449953346,0.0028408791825108794,-0.07824722136860064,-0.06111750838358961,-0.03503180868515495,1010.0,1007.0,983.0,1035.0,18188.0,6.5508
402031176,Valley View - Gilles Plains,Moderate,Low,Area (km²),-0.06639706104797018,-0.015411637388666985,-0.031074605438243197,-0.001465345102690326,-0.06431077863078835,-0.017304981544559922,-0.06639706104797018,978.0,957.0,967.0,964.0,10504.0,4.683
402041040,Ingle Farm,Moderate,Low,Area (km²),-0.11534471557715775,0.018792886008055322,-0.044351459253539026,-0.003138536943450172,0.008833359366570958,-0.06742260942006514,-0.11534471557715775,954.0,929.0,959.0,923.0,15681.0,7.4263
402041041,Para Hills,Moderate,Low,Population,-0.06206036168636408,0.026109750225572964,-0.037154449250469075,1.9825551975457143e-05,-0.002369762571805601,-0.06206036168636408,-0.007176078088495275,959.0,931.0,983.0,919.0,15094.0,10.173
402041043,Parafield Gardens,Moderate,Low,Population,-0.15544124923792058,0.01899012705278632,0.025856691046155924,-0.0002993333717964978,-0.003980111430656717,-0.15544124923792058,-0.1177571998781543,880.0,884.0,946.0,891.0,18467.0,7.0272
402041044,Paralowie,Moderate,Low,Population,-0.17417969525116503,0.013114803526021922,0.012587799856757832,0.00024701533875890564,0.02659928467179649,-0.17417969525116503,-0.10766695062842271,888.0,878.0,959.0,867.0,17816.0,8.3213
402041046,Salisbury,High,Low,Population,-0.2146354736711529,0.02879391749342356,-0.011537018515053584,0.02702249393652484,0.03873489512430543,-0.2146354736711529,-0.03434322352096625,803.0,827.0,876.0,851.0,18594.0,10.7696
402041047,Salisbury East,Moderate,Low,Population,-0.14226825141891405,-0.007607230863030213,0.014088353699530248,-0.012635696278282454,-0.01909836872251458,-0.14226825141891405,-0.04844321556970772,940.0,916.0,973.0,905.0,18454.0,14.8505
402041048,Salisbury North,Moderate,Low,Population,-0.1997781387275034,0.02296524669889467,-0.011357839904780986,-0.01232307819781626,0.02760857040154919,-0.1997781387275034,-0.04307916942326228,829.0,836.0,908.0,846.0,18487.0,31.3003
402041171,Mawson Lakes - Globe Derby Park,Low,Low,IRSAD (Adv/Disadv),-0.08208041233112162,-0.033591187596447074,-0.08208041233112162,-0.045094281466041386,-0.06537479395488818,-0.021509084411175005,0.005018683940087591,1033.0,1026.0,997.0,1046.0,13855.0,9.6165
402041172,Pooraka - Cavan,Moderate,Low,Area (km²),-0.15736524957040757,0.01313866806870657,0.0048894672456308306,-0.017878088079383004,-0.002955854311465775,-0.03912668583933335,-0.15736524957040757,911.0,906.0,932.0,924.0,8080.0,7.4904
402051049,Golden Grove,Moderate,Low,IRSAD (Adv/Disadv),-0.07818642700711723,-0.032346057039460044,-0.07818642700711723,-0.07233289960170555,-0.061065433151929464,-0.005234839857582156,-0.00013208582845800326,1043.0,1016.0,1035.0,1004.0,10406.0,26.6144
402051050,Greenwith,Low,Low,IRSAD (Adv/Disadv),-0.06870633412923302,-0.029185925579883403,-0.06870633412923302,-0.06552467795699202,-0.05841536315815641,5.395481477531024e-05,-0.027519396476762666,1039.0,1004.0,1033.0,991.0,9017.0,6.0371
402051051,Highbury - Dernancourt,Low,Low,IRSAD (Adv/Disadv),-0.07022677172252142,-0.05825965447009802,-0.07022677172252142,-0.06377163638055784,-0.05155284263873645,-0.008502341465915783,0.0030155041915773174,1068.0,1042.0,1055.0,1041.0,11048.0,12.001
402051052,Hope Valley - Modbury,Moderate,Low,Population,-0.10071749817947039,-0.010451142362092589,-0.006142673004187063,0.006606377367833059,-0.06080684461996619,-0.10071749817947039,0.0022140383116309396,987.0,960.0,962.0,959.0,17496.0,10.3125
402051053,Modbury Heights,Moderate,Low,IRSAD (Adv/Disadv),-0.06305130317009736,-0.014230746812176813,-0.06305130317009736,-0.059270882140232906,-0.056330601321290766,-0.05470180980599354,0.0016209340968726504,1030.0,992.0,1013.0,983.0,19248.0,9.9089
402051054,Redwood Park,Low,Low,IER (Econ Resources),-0.06044893417903253,-0.053562279629622914,-0.058151721712163824,-0.06044893417903253,-0.03885882854061786,-0.0383520595964198,7.608117160461514e-05,1048.0,1000.0,1038.0,974.0,16276.0,14.1403
402051055,St Agnes - Ridgehaven,Moderate,Low,IER (Econ Resources),-0.07445424680458555,-0.021766069761332687,-0.07265252519165663,-0.07445424680458555,-0.05949757274858733,-0.02491716822308445,0.003989840242994379,1024.0,986.0,1005.0,977.0,13161.0,12.2999
403011056,Brighton (SA),Moderate,Low,IRSAD (Adv/Disadv),-0.05811887043220452,-0.04692709119570557,-0.05811887043220452,-0.048243350119578546,-0.04437325639752246,-0.023280344932194788,-0.028354829409046604,1048.0,1043.0,1013.0,1065.0,15191.0,5.9168
403011057,Glenelg (SA),Moderate,Low,IRSAD (Adv/Disadv),-0.06105133790328791,-0.03799042962410691,-0.06105133790328791,-0.015435553443106294,-0.057966010754094306,-0.04954050864988103,-0.02398056877844254,1047.0,1046.0,988.0,1062.0,20522.0,7.2232
403021058,Edwardstown,Moderate,Low,IEO (Education/Occ),-0.08190227010176493,-0.00423932319841966,-0.05811365189356548,-0.005497152069279558,-0.08190227010176493,-0.04759728459582623,-0.048614727294063215,985.0,983.0,924.0,1022.0,14563.0,5.5375
403021059,Hallett Cove,Low,Low,IRSAD (Adv/Disadv),-0.0668132061444848,-0.0567189008460985,-0.0668132061444848,-0.063183462404428,-0.04968680176492172,-0.016501985447038767,0.0036066141207196345,1057.0,1025.0,1052.0,1011.0,12609.0,9.2762
403021060,Marino - Seaview Downs,Low,Low,IRSAD (Adv/Disadv),-0.07215636702854297,-0.06066640782015924,-0.07215636702854297,-0.0696042907095184,-0.05312853851726796,0.0017584860662893476,0.004499375522947056,1060.0,1038.0,1042.0,1041.0,9703.0,12.2123
403021061,Mitchell Park,Moderate,Low,IEO (Education/Occ),-0.07772056857416709,0.009071436462986594,-0.027725140640702,-0.01469796195121458,-0.07772056857416709,-0.07046257765764487,-0.06109626345884374,959.0,957.0,914.0,999.0,16516.0,7.5686
403021062,Morphettville,Moderate,Low,IEO (Education/Occ),-0.0792986202423398,-0.005102171286324242,-0.06970807326942802,0.004757914493000426,-0.0792986202423398,-0.05621165167266425,-0.043735140508496424,1005.0,1000.0,960.0,1022.0,16531.0,6.2005
403021063,Sheidow Park - Trott Park,Low,Low,IER (Econ Resources),-0.07216451542310173,-0.0626471572875092,-0.06911152091958571,-0.07216451542310173,-0.0527852104418217,0.002710905519262974,0.008033089399836475,1058.0,1011.0,1057.0,987.0,10211.0,9.3899
403021064,Warradale,Moderate,Low,IEO (Education/Occ),-0.07837154101434868,-0.006449610195518982,-0.03980329967980775,-0.005050100499088391,-0.07837154101434868,-0.06384807210748536,-0.04910845232333651,984.0,977.0,939.0,1013.0,16190.0,6.0145
403031065,Belair,Low,Low,IRSAD (Adv/Disadv),-0.07546276350862045,-0.06445337430262532,-0.07546276350862045,-0.06993535673813465,-0.05784808372937147,0.01599975553549643,0.0024020802570031614,1106.0,1102.0,1097.0,1123.0,4896.0,24.7761
403031066,Bellevue Heights,Low,Low,IRSAD (Adv/Disadv),-0.07201530822759662,-0.060564369228060105,-0.07201530822759662,-0.06943707645195835,-0.05299119127832644,0.004204751038927491,0.0015054516607618442,1060.0,1048.0,1026.0,1071.0,7608.0,8.7154
403031067,Blackwood,Low,Low,IRSAD (Adv/Disadv),-0.06679122582653559,-0.05635396354244659,-0.06679122582653559,-0.06041333113816507,-0.04884228537223335,-0.016033133711688016,-0.0008638028951835974,1094.0,1085.0,1082.0,1104.0,12963.0,16.928
