SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,estimated_annual_water_bill,water_stress_index,stress_pct_rank,stress_tier
402021032,Munno Para West - Angle Vale,Playford,Adelaide - North,16215.0,44.3107,963.0,3.0,930.0,3.0,995.0,5.0,907.0,2.0,2248.04,2259.3367,0.4006,Moderate
402021033,One Tree Hill,Playford,Adelaide - North,2473.0,130.1511,1082.0,9.0,1042.0,7.0,1113.0,10.0,1001.0,6.0,2248.04,2019.8023,0.0057,Low
402021034,Smithfield - Elizabeth North,Playford,Adelaide - North,12446.0,7.987,732.0,1.0,756.0,1.0,804.0,1.0,780.0,1.0,2248.04,2796.0697,0.9261,Critical
402021035,Virginia - Waterloo Corner,Playford,Adelaide - North,5693.0,135.5661,958.0,3.0,939.0,3.0,1015.0,6.0,917.0,2.0,2248.04,2214.8177,0.2699,Moderate
402031036,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,25578.0,15.1765,904.0,2.0,924.0,2.0,902.0,1.0,966.0,5.0,2248.04,2492.2838,0.8409,Critical
402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,22587.0,8.4298,998.0,5.0,992.0,5.0,953.0,3.0,1025.0,7.0,2248.04,2358.9087,0.6818,High
402031175,Northgate - Northfield,Port Adelaide - East,Adelaide - North,18188.0,6.5508,1010.0,5.0,1007.0,6.0,983.0,4.0,1035.0,7.0,2248.04,2286.9176,0.4716,Moderate
402031176,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,10504.0,4.683,978.0,4.0,957.0,4.0,967.0,4.0,964.0,5.0,2248.04,2324.757,0.5682,High
402041039,Dry Creek - North,Salisbury,Adelaide - North,,38.5669,,,,,,,,,2248.04,,0.9744,Critical
402041040,Ingle Farm,Salisbury,Adelaide - North,15681.0,7.4263,954.0,3.0,929.0,3.0,959.0,3.0,923.0,3.0,2248.04,2344.1502,0.6449,High
402041041,Para Hills,Salisbury,Adelaide - North,15094.0,10.173,959.0,3.0,931.0,3.0,983.0,4.0,919.0,3.0,2248.04,2286.9176,0.4716,Moderate
402041042,Parafield,Salisbury,Adelaide - North,,4.6289,,,,,,,,,2248.04,,0.9744,Critical
402041043,Parafield Gardens,Salisbury,Adelaide - North,18467.0,7.0272,880.0,1.0,884.0,1.0,946.0,3.0,891.0,2.0,2248.04,2376.3636,0.7244,High
402041044,Paralowie,Salisbury,Adelaide - North,17816.0,8.3213,888.0,1.0,878.0,1.0,959.0,3.0,867.0,1.0,2248.04,2344.1502,0.6449,High
402041046,Salisbury,Salisbury,Adelaide - North,18594.0,10.7696,803.0,1.0,827.0,1.0,876.0,1.0,851.0,1.0,2248.04,2566.2557,0.892,Critical
402041047,Salisbury East,Salisbury,Adelaide - North,18454.0,14.8505,940.0,2.0,916.0,2.0,973.0,4.0,905.0,2.0,2248.04,2310.4214,0.5256,High
402041048,Salisbury North,Salisbury,Adelaide - North,18487.0,31.3003,829.0,1.0,836.0,1.0,908.0,1.0,846.0,1.0,2248.04,2475.815,0.8295,Critical
402041171,Mawson Lakes - Globe Derby Park,Salisbury,Adelaide - North,13855.0,9.6165,1033.0,7.0,1026.0,7.0,997.0,5.0,1046.0,7.0,2248.04,2254.8044,0.3892,Moderate
402041172,Pooraka - Cavan,Salisbury,Adelaide - North,8080.0,7.4904,911.0,2.0,906.0,2.0,932.0,2.0,924.0,3.0,2248.04,2412.0601,0.7699,Critical
402051049,Golden Grove,Tea Tree Gully,Adelaide - North,10406.0,26.6144,1043.0,7.0,1016.0,6.0,1035.0,7.0,1004.0,6.0,2248.04,2172.0193,0.1818,Low
402051050,Greenwith,Tea Tree Gully,Adelaide - North,9017.0,6.0371,1039.0,7.0,1004.0,6.0,1033.0,7.0,991.0,6.0,2248.04,2176.2246,0.196,Low
402051051,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,11048.0,12.001,1068.0,9.0,1042.0,7.0,1055.0,8.0,1041.0,7.0,2248.04,2130.8436,0.1051,Low
402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,17496.0,10.3125,987.0,4.0,960.0,4.0,962.0,3.0,959.0,4.0,2248.04,2336.8399,0.6108,High
402051053,Modbury Heights,Tea Tree Gully,Adelaide - North,19248.0,9.9089,1030.0,6.0,992.0,5.0,1013.0,6.0,983.0,5.0,2248.04,2219.1905,0.2812,Moderate
402051054,Redwood Park,Tea Tree Gully,Adelaide - North,16276.0,14.1403,1048.0,8.0,1000.0,6.0,1038.0,8.0,974.0,5.0,2248.04,2165.7418,0.1705,Low
402051055,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,13161.0,12.2999,1024.0,6.0,986.0,5.0,1005.0,6.0,977.0,5.0,2248.04,2236.8557,0.3324,Moderate
403011056,Brighton (SA),Holdfast Bay,Adelaide - South,15191.0,5.9168,1048.0,7.0,1043.0,7.0,1013.0,6.0,1065.0,8.0,2248.04,2219.1905,0.2812,Moderate
403011057,Glenelg (SA),Holdfast Bay,Adelaide - South,20522.0,7.2232,1047.0,7.0,1046.0,7.0,988.0,5.0,1062.0,8.0,2248.04,2275.3441,0.4403,Moderate
403021058,Edwardstown,Marion,Adelaide - South,14563.0,5.5375,985.0,4.0,983.0,5.0,924.0,2.0,1022.0,7.0,2248.04,2432.9437,0.7983,Critical
403021059,Hallett Cove,Marion,Adelaide - South,12609.0,9.2762,1057.0,8.0,1025.0,7.0,1052.0,8.0,1011.0,6.0,2248.04,2136.9202,0.125,Low
403021060,Marino - Seaview Downs,Marion,Adelaide - South,9703.0,12.2123,1060.0,8.0,1038.0,7.0,1042.0,8.0,1041.0,7.0,2248.04,2157.428,0.1648,Low
403021061,Mitchell Park,Marion,Adelaide - South,16516.0,7.5686,959.0,3.0,957.0,4.0,914.0,2.0,999.0,6.0,2248.04,2459.5624,0.8182,Critical
403021062,Morphettville,Marion,Adelaide - South,16531.0,6.2005,1005.0,5.0,1000.0,6.0,960.0,3.0,1022.0,7.0,2248.04,2341.7083,0.6307,High
403021063,Sheidow Park - Trott Park,Marion,Adelaide - South,10211.0,9.3899,1058.0,8.0,1011.0,6.0,1057.0,8.0,987.0,5.0,2248.04,2126.8117,0.0966,Low
403021064,Warradale,Marion,Adelaide - South,16190.0,6.0145,984.0,4.0,977.0,5.0,939.0,2.0,1013.0,6.0,2248.04,2394.0788,0.7443,High
403031065,Belair,Mitcham,Adelaide - South,4896.0,24.7761,1106.0,10.0,1102.0,9.0,1097.0,10.0,1123.0,9.0,2248.04,2049.2616,0.0284,Low
403031066,Bellevue Heights,Mitcham,Adelaide - South,7608.0,8.7154,1060.0,8.0,1048.0,8.0,1026.0,7.0,1071.0,8.0,2248.04,2191.0721,0.2244,Low
403031067,Blackwood,Mitcham,Adelaide - South,12963.0,16.928,1094.0,10.0,1085.0,9.0,1082.0,9.0,1104.0,9.0,2248.04,2077.671,0.0455,Low
403031068,Colonel Light Gardens,Mitcham,Adelaide - South,15842.0,6.761,1064.0,8.0,1063.0,8.0,1033.0,7.0,1081.0,8.0,2248.04,2176.2246,0.196,Low
403031069,Mitcham (SA),Mitcham,Adelaide - South,16506.0,11.4472,1087.0,10.0,1100.0,9.0,1059.0,8.0,1125.0,9.0,2248.04,2122.7951,0.0909,Low
403031070,Panorama,Mitcham,Adelaide - South,8475.0,5.7425,1033.0,7.0,1023.0,7.0,998.0,5.0,1048.0,8.0,2248.04,2252.5451,0.3807,Moderate
403041071,Aberfoyle Park,Onkaparinga,Adelaide - South,11911.0,13.8426,1049.0,8.0,1012.0,6.0,1046.0,8.0,1007.0,6.0,2248.04,2149.1778,0.1477,Low
403041072,Aldinga,Onkaparinga,Adelaide - South,15923.0,35.3303,970.0,3.0,931.0,3.0,988.0,5.0,931.0,3.0,2248.04,2275.3441,0.4403,Moderate
